,season,abbreviation,playoffs,w,l,pw,pl,mov,srs,o_rtg,x3p_ar,e_fg_percent,tov_percent,orb_percent,ft_fga
116,2021,PHO,True,51.0,21.0,49.0,23.0,5.82,5.67,117.2,0.392,0.564,11.5,20.8,0.177
117,2021,POR,True,42.0,30.0,40.0,32.0,1.79,1.81,117.8,0.448,0.54,9.9,23.0,0.195
118,2021,SAC,False,31.0,41.0,28.0,44.0,-3.68,-3.45,113.6,0.376,0.549,12.0,21.3,0.185
119,2021,SAS,False,33.0,39.0,32.0,40.0,-1.74,-1.58,111.0,0.314,0.517,10.2,20.0,0.192
120,2021,TOR,False,27.0,45.0,35.0,37.0,-0.47,-0.54,112.0,0.444,0.529,11.9,20.8,0.196
121,2021,UTA,True,52.0,20.0,55.0,17.0,9.25,8.97,117.6,0.488,0.563,12.7,24.5,0.195
122,2021,WAS,True,34.0,38.0,32.0,40.0,-1.83,-1.85,111.2,0.319,0.531,12.3,21.3,0.221
124,2020,ATL,False,20.0,47.0,18.0,49.0,-7.97,-7.71,107.2,0.398,0.515,13.8,21.6,0.204
125,2020,BOS,True,48.0,24.0,50.0,22.0,6.31,5.83,113.3,0.386,0.531,12.2,23.9,0.207
126,2020,BRK,True,35.0,37.0,35.0,37.0,-0.57,-1.01,108.9,0.423,0.52,13.1,23.2,0.199
127,2020,CHI,False,22.0,43.0,26.0,39.0,-3.08,-4.0,106.7,0.396,0.515,13.7,22.8,0.175
128,2020,CHO,False,23.0,42.0,19.0,46.0,-6.75,-7.03,106.3,0.399,0.504,13.3,23.9,0.188
129,2020,CLE,False,19.0,46.0,18.0,47.0,-7.89,-7.77,107.5,0.362,0.522,14.6,24.6,0.172
130,2020,DAL,True,43.0,32.0,49.0,26.0,4.95,4.87,116.7,0.457,0.545,11.2,23.2,0.206
131,2020,DEN,True,46.0,27.0,41.0,32.0,2.11,2.35,113.1,0.344,0.535,12.3,24.8,0.183
132,2020,DET,False,20.0,46.0,26.0,40.0,-3.56,-4.38,109.0,0.381,0.529,13.8,22.6,0.194
133,2020,GSW,False,15.0,50.0,16.0,49.0,-8.71,-8.12,105.2,0.355,0.497,13.2,21.5,0.212
